target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue
HLM CLint,2996,744,0.424619785178646,0.32318770795970514,0.48403885858587825,0.5156089133261701,5.00988220428101e-98
MLM CLint,2996,744,0.44336316603097126,0.3291020640478935,0.5143536743060024,0.5106330626667127,1.87009416037131e-96
