target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue
HLM CLint,2992,748,0.42513046508960417,0.30635730679820533,0.5311151713518805,0.5632493097900533,3.5794056782341805e-117
MLM CLint,2992,748,0.4519519566942793,0.3246510651385809,0.6098954304844525,0.6134985004144576,4.367167809327885e-139
