target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue
HLM CLint,2998,742,0.47995400475746125,0.35037604765186353,0.342995696571593,0.4416569962667308,3.619035781845132e-72
MLM CLint,2998,742,0.5488649442771915,0.3968871239234233,0.4762286771502501,0.4855267316749857,4.20362672761264e-87
