target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,split_method,model_family,cv_iter,fold,comparison_label
MLM,2991,749,0.479851331742058,0.3669441936073287,0.5353863829756391,0.5147784798236321,1.2706881110623239e-98,Scaffold,RF_ECFP4,3,4,MLM_RF_ECFP4_Scaffold
HLM,2991,749,0.4440105853450297,0.3262709629371522,0.5017055016405128,0.5468273572860011,1.1153593514276465e-110,Scaffold,RF_ECFP4,4,0,HLM_RF_ECFP4_Scaffold
MLM,2991,749,0.4875348437658889,0.3593902700663132,0.5548674457435852,0.5391307840857578,5.480508697435154e-108,Scaffold,RF_ECFP4,4,0,MLM_RF_ECFP4_Scaffold
HLM,2992,748,0.4254936544827367,0.3265381786343705,0.5194887401905026,0.5340368810962568,1.302535175010527e-105,Scaffold,RF_ECFP4,4,1,HLM_RF_ECFP4_Scaffold
MLM,2992,748,0.5026631799842683,0.3723412814012685,0.5128281461352429,0.5198761993120465,2.09255227979579e-100,Scaffold,RF_ECFP4,4,1,MLM_RF_ECFP4_Scaffold
HLM,2992,748,0.4473458049247966,0.3381256379596368,0.5251528909588945,0.5375036297579193,1.068002994583528e-106,Scaffold,RF_ECFP4,4,2,HLM_RF_ECFP4_Scaffold
MLM,2992,748,0.5013495014880985,0.3676475750182942,0.5877413839732848,0.5720316790310427,3.9099195173369775e-121,Scaffold,RF_ECFP4,4,2,MLM_RF_ECFP4_Scaffold
HLM,2993,747,0.4373978338304959,0.3229583307017702,0.3926965303244358,0.4630134682987854,8.76365369782754e-80,Scaffold,RF_ECFP4,4,3,HLM_RF_ECFP4_Scaffold
MLM,2993,747,0.4392884265716983,0.3290729448911118,0.542982609100588,0.5115652119360882,3.5783934255092107e-97,Scaffold,RF_ECFP4,4,3,MLM_RF_ECFP4_Scaffold
HLM,2992,748,0.4916701594803038,0.3759260986260572,0.4654163542126596,0.5266914598746476,1.1959634381260452e-102,Scaffold,RF_ECFP4,4,4,HLM_RF_ECFP4_Scaffold
MLM,2992,748,0.4814062355656207,0.3534627278094893,0.5439051419813328,0.5250989072796928,2.0690569519154077e-102,Scaffold,RF_ECFP4,4,4,MLM_RF_ECFP4_Scaffold
