model_family,variant,task,cv_iter,fold,mae,rmse,r2,n_val
chemprop,single_papp,papp,4,0,5.941,7.946,0.413688,429
chemprop,single_efflux,efflux,4,0,4.2453,10.7496,0.323976,429
chemprop,multi,papp,4,1,6.7992,8.9824,0.332598,428
chemprop,multi,efflux,4,1,2.8163,6.8331,0.151853,428
chemprop,single_papp,papp,4,1,7.2091,9.4508,0.26118,428
chemprop,single_efflux,efflux,4,1,3.0402,6.9507,0.122407,428
chemprop,multi,papp,4,2,6.8686,8.7581,0.333066,445
chemprop,multi,efflux,4,2,4.1895,9.7292,0.13453,445
chemprop,single_papp,papp,4,2,7.2389,9.2286,0.259483,445
chemprop,single_efflux,efflux,4,2,4.1054,9.9609,0.09282,445
chemprop,multi,papp,4,3,6.0299,7.888,0.420006,427
chemprop,multi,efflux,4,3,2.8974,6.0973,0.29542,427
chemprop,single_papp,papp,4,3,6.2247,8.1407,0.382252,427
chemprop,single_efflux,efflux,4,3,2.4514,6.0282,0.311291,427
chemprop,multi,papp,4,4,6.6206,8.7119,0.330067,427
chemprop,multi,efflux,4,4,2.8423,6.5634,0.174625,427
chemprop,single_papp,papp,4,4,6.775,8.9194,0.297768,427
chemprop,single_efflux,efflux,4,4,2.9342,6.7,0.1399,427
