target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue
HLM CLint,2992,748,0.43961917520350546,0.31924335114538027,0.5367717026050971,0.560330795245884,6.938845348076814e-116
MLM CLint,2992,748,0.4504605898074009,0.3288906381385085,0.620489338439229,0.6061190979849139,8.668479864178061e-136
