model_family,variant,task,cv_iter,fold,mae,rmse,r2
rf,multi,MLM CLint,4,0,427.624,891.24,0.3104
rf,single_HLM CLint,HLM CLint,4,1,52.726,145.248,0.1124
rf,single_MLM CLint,MLM CLint,4,1,512.713,905.091,0.3087
rf,multi,HLM CLint,4,1,49.43,138.039,0.1983
rf,multi,MLM CLint,4,1,514.552,908.165,0.304
rf,single_HLM CLint,HLM CLint,4,2,42.124,112.5,0.0604
rf,single_MLM CLint,MLM CLint,4,2,448.99,872.459,0.286
rf,multi,HLM CLint,4,2,36.403,91.144,0.3833
rf,multi,MLM CLint,4,2,451.258,877.162,0.2783
rf,single_HLM CLint,HLM CLint,4,3,44.152,112.953,0.0546
rf,single_MLM CLint,MLM CLint,4,3,457.587,912.178,0.1172
rf,multi,HLM CLint,4,3,39.899,105.26,0.179
rf,multi,MLM CLint,4,3,457.633,912.971,0.1156
rf,single_HLM CLint,HLM CLint,4,4,49.147,113.032,0.1263
rf,single_MLM CLint,MLM CLint,4,4,491.346,902.993,0.2019
rf,multi,HLM CLint,4,4,46.691,108.438,0.1958
rf,multi,MLM CLint,4,4,493.061,905.417,0.1976
