target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,split_method,model_family,cv_iter,fold,comparison_label
HLM,2994,746,0.4418917835486052,0.3371842525828922,0.4963093837661413,0.5281983684455426,4.246620760818688e-103,Butina,RF_ECFP4,1,3,HLM_RF_ECFP4_Butina
MLM,2994,746,0.4804148192452241,0.3593882004356462,0.5753009382322294,0.5375148499630272,6.319647270282793e-107,Butina,RF_ECFP4,1,3,MLM_RF_ECFP4_Butina
HLM,2991,749,0.4569979692337592,0.3384337012870299,0.478293395841838,0.5238465078808646,8.59373438193466e-102,Butina,RF_ECFP4,1,4,HLM_RF_ECFP4_Butina
MLM,2991,749,0.4978401526541743,0.3622089497669611,0.4589113652805859,0.4964867181944726,6.862057839802992e-92,Butina,RF_ECFP4,1,4,MLM_RF_ECFP4_Butina
HLM,2992,748,0.4444127298267629,0.3357073057487393,0.4728258871794215,0.5156272855279153,1.4779267216241188e-98,Butina,RF_ECFP4,2,0,HLM_RF_ECFP4_Butina
MLM,2992,748,0.461549850241902,0.3468109704049574,0.5425205359410643,0.524018874304359,5.2964777477764896e-102,Butina,RF_ECFP4,2,0,MLM_RF_ECFP4_Butina
HLM,2992,748,0.4704943908528672,0.350247625419081,0.4618315993726304,0.5174745754423441,3.049571681172197e-99,Butina,RF_ECFP4,2,1,HLM_RF_ECFP4_Butina
MLM,2992,748,0.4792236458550888,0.3666548978149798,0.4329559453159166,0.4591222662556877,9.42715618441014e-79,Butina,RF_ECFP4,2,1,MLM_RF_ECFP4_Butina
HLM,2991,749,0.4615267903076644,0.3445182850905885,0.459158593987593,0.5215419742726131,6.684116158094272e-101,Butina,RF_ECFP4,2,2,HLM_RF_ECFP4_Butina
MLM,2991,749,0.4594311287070396,0.3490423177589908,0.5347550813430406,0.4685417825451716,4.96231650551986e-82,Butina,RF_ECFP4,2,2,MLM_RF_ECFP4_Butina
HLM,2992,748,0.4444365182423829,0.3357655504553137,0.5087408806635896,0.5337602227132466,3.4802433650335616e-105,Butina,RF_ECFP4,2,3,HLM_RF_ECFP4_Butina
MLM,2992,748,0.4765740084969752,0.344899350002142,0.6800368563060497,0.6464297472144784,4.909033123113757e-154,Butina,RF_ECFP4,2,3,MLM_RF_ECFP4_Butina
HLM,2993,747,0.4596134135789713,0.3486243066493393,0.4412107769853417,0.4880419650858104,2.212027245428689e-88,Butina,RF_ECFP4,2,4,HLM_RF_ECFP4_Butina
MLM,2993,747,0.5341291548160232,0.3825697213652627,0.4843333519629254,0.5023579158446861,9.514655668978718e-94,Butina,RF_ECFP4,2,4,MLM_RF_ECFP4_Butina
HLM,2998,742,0.4799540047574612,0.3503760476518635,0.342995696571593,0.4416569962667308,3.6190357818451323e-72,Butina,RF_ECFP4,3,0,HLM_RF_ECFP4_Butina
MLM,2998,742,0.5488649442771915,0.3968871239234233,0.4762286771502501,0.4855267316749857,4.20362672761264e-87,Butina,RF_ECFP4,3,0,MLM_RF_ECFP4_Butina
