cv_iter,fold,seed,model,task,mae,rmse,r2
2,4,3,multi,efflux,3.262,8.646,0.1087
2,4,4,single,papp,5.977,8.017,0.4064
2,4,4,single,efflux,3.539,9.136,0.0048
2,4,4,multi,papp,6.095,8.039,0.403
2,4,4,multi,efflux,3.239,8.575,0.1232
3,0,0,single,papp,5.474,7.15,0.4689
3,0,0,single,efflux,2.997,8.619,0.0756
3,0,0,multi,papp,5.363,6.998,0.4912
3,0,0,multi,efflux,2.84,8.175,0.1684
3,0,1,single,papp,5.434,7.107,0.4753
3,0,1,single,efflux,2.968,8.625,0.0743
3,0,1,multi,papp,5.371,6.982,0.4935
3,0,1,multi,efflux,2.829,8.231,0.1568
3,0,2,single,papp,5.455,7.122,0.473
3,0,2,single,efflux,2.95,8.602,0.0792
3,0,2,multi,papp,5.37,6.979,0.4939
3,0,2,multi,efflux,2.806,8.166,0.1701
3,0,3,single,papp,5.433,7.115,0.4741
3,0,3,single,efflux,2.988,8.594,0.0808
3,0,3,multi,papp,5.393,7.002,0.4907
3,0,3,multi,efflux,2.83,8.208,0.1616
3,0,4,single,papp,5.469,7.142,0.47
3,0,4,single,efflux,2.971,8.556,0.0891
3,0,4,multi,papp,5.408,7.036,0.4857
3,0,4,multi,efflux,2.835,8.151,0.1732
3,1,0,single,papp,6.484,8.922,0.3051
3,1,0,single,efflux,3.109,7.81,-0.02
3,1,0,multi,papp,6.573,8.998,0.2931
3,1,0,multi,efflux,2.916,7.422,0.0787
3,1,1,single,papp,6.503,8.957,0.2996
3,1,1,single,efflux,3.047,7.726,0.0019
3,1,1,multi,papp,6.553,8.982,0.2956
3,1,1,multi,efflux,2.896,7.424,0.0784
3,1,2,single,papp,6.482,8.954,0.3
3,1,2,single,efflux,3.073,7.76,-0.0071
3,1,2,multi,papp,6.535,8.962,0.2988
3,1,2,multi,efflux,2.93,7.446,0.0728
3,1,3,single,papp,6.511,8.964,0.2985
3,1,3,single,efflux,3.084,7.812,-0.0205
3,1,3,multi,papp,6.542,8.979,0.2961
3,1,3,multi,efflux,2.908,7.44,0.0742
3,1,4,single,papp,6.5,8.976,0.2966
3,1,4,single,efflux,3.08,7.766,-0.0085
3,1,4,multi,papp,6.512,8.949,0.3009
3,1,4,multi,efflux,2.892,7.413,0.081
3,2,0,single,papp,6.71,9.25,0.3355
