target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue
HLM CLint,2993,747,0.4608166429587624,0.33758194924015006,0.41426919390497574,0.48629919970287994,8.300333801237556e-88
MLM CLint,2993,747,0.4728198452844539,0.34237268911929947,0.49015871857173343,0.48300754520298134,7.720228853889631e-87
